PRODUCTO,AÑO,MES,TIPOCOMPRA,HOSPITAL,TGL,CANTIDADCOMPRA
APÓSITO ABSORBENTE C/ ADHESIVO-22,2021,2,Concurso,18,ALMACENABLE,3300
APÓSITO ABSORBENTE C/ ADHESIVO-23,2021,2,Concurso,18,ALMACENABLE,900
HIDROGEL-37,2021,2,Concurso,4,ALMACENABLE,80
HIDROGEL-37,2021,2,Concurso,0,ALMACENABLE,100
APOSITO MALLADO C/ PARAFINA-38,2021,2,Concurso,4,ALMACENABLE,200
APOSITO DE FIBRAS DE POLIACRILATO-3,2021,2,Concurso,0,ALMACENABLE,160
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2021,2,Concurso,10,ALMACENABLE,150
APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,2021,2,Concurso,10,ALMACENABLE,90
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2021,2,Compra menor,12,TRANSITO,24
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2021,2,Concurso,0,ALMACENABLE,100
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2022,2,Compra menor,12,TRANSITO,12
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2016,3,Compra menor,10,ALMACENABLE,250
APÓSITO ABSORBENTE C/ ADHESIVO-23,2016,3,Compra menor,0,ALMACENABLE,600
APOSITO MALLADO C/ SILICONA-0,2016,3,Compra menor,10,ALMACENABLE,140
APOSITO DE HIDROCOLOIDE-9,2016,3,Compra menor,0,ALMACENABLE,900
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2017,3,Concurso,13,ALMACENABLE,350
APOSITO DE HIDROCOLOIDE C/ PLATA-2,2017,3,Compra menor,0,TRANSITO,50
APOSITO C/ CARBON Y PLATA-4,2017,3,Concurso,18,ALMACENABLE,220
APOSITO DE HIDROCOLOIDE C/ PLATA-2,2018,3,Compra menor,0,TRANSITO,50
HIDROGEL-37,2018,3,Compra menor,13,ALMACENABLE,300
APOSITO C/ CARBON Y PLATA-6,2018,3,Compra menor,13,ALMACENABLE,600
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2018,3,Compra menor,0,ALMACENABLE,1000
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2018,3,Compra menor,13,ALMACENABLE,2000
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2018,3,Compra menor,0,ALMACENABLE,240
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2019,3,Compra menor,10,ALMACENABLE,150
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2019,3,Concurso,0,ALMACENABLE,100
APOSITO DE FIBRAS DE POLIACRILATO-3,2019,3,Concurso,10,ALMACENABLE,300
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2019,3,Compra menor,10,ALMACENABLE,160
APOSITO DE HIDROCOLOIDE-3,2022,3,Concurso,4,ALMACENABLE,30
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2022,3,Concurso,10,ALMACENABLE,360
APOSITO DE ESPUMA POLIURETANO-8,2022,3,Concurso,10,ALMACENABLE,150
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2022,3,Compra menor,10,ALMACENABLE,50
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2022,3,Concurso,18,ALMACENABLE,50
APOSITO DE HIDROCOLOIDE-3,2015,4,Compra menor,10,ALMACENABLE,320
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2015,4,Compra menor,10,ALMACENABLE,2000
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2016,4,Compra menor,0,ALMACENABLE,200
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2016,4,Compra menor,10,ALMACENABLE,205
HIDROGEL-37,2016,4,Compra menor,0,ALMACENABLE,60
APOSITO C/ CARBON Y PLATA-6,2016,4,Compra menor,0,ALMACENABLE,300
APOSITO C/ CARBON Y PLATA-6,2016,4,Compra menor,6,ALMACENABLE,600
APOSITO MALLADO C/ SILICONA-0,2016,4,Compra menor,0,ALMACENABLE,70
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2016,4,Compra menor,10,ALMACENABLE,2000
APÓSITO TRANSPARENTE ADHESIVO-24,2019,4,Compra menor,10,ALMACENABLE,2000
APOSITO DE ALGINATO C/ PLATA-6,2019,4,Compra menor,10,ALMACENABLE,100
APOSITO C/ CARBON Y PLATA-4,2019,4,Concurso,18,ALMACENABLE,170
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2019,4,Compra menor,18,ALMACENABLE,70
HIDROGEL-37,2020,4,Compra menor,10,ALMACENABLE,265
APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,2020,4,Compra menor,11,TRANSITO,5
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2020,4,Concurso,13,ALMACENABLE,800
BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,2020,4,Compra menor,11,TRANSITO,5
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2022,4,Compra menor,10,TRANSITO,10
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2022,4,Compra menor,10,ALMACENABLE,110
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2022,4,Concurso,0,ALMACENABLE,120
APOSITO DE FIBRAS DE POLIACRILATO-3,2022,4,Concurso,0,ALMACENABLE,100
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,2022,4,Concurso,0,ALMACENABLE,100
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2015,6,Compra menor,6,ALMACENABLE,30
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2015,6,Compra menor,4,ALMACENABLE,30
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2015,6,Compra menor,6,ALMACENABLE,200
APÓSITO ABSORBENTE C/ ADHESIVO-22,2015,6,Compra menor,18,ALMACENABLE,5120
APOSITO C/ CARBON Y PLATA-6,2015,6,Concurso,13,ALMACENABLE,600
APOSITO MALLADO C/ PARAFINA-38,2015,6,Compra menor,13,ALMACENABLE,350
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2015,6,Compra menor,10,ALMACENABLE,2000
APOSITO DE HIDROFIBRA  / CINTA-18,2016,6,Compra menor,4,TRANSITO,10
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2016,6,Compra menor,18,ALMACENABLE,70
APOSITO DE HIDROCOLOIDE-3,2016,6,Compra menor,10,ALMACENABLE,400
APOSITO DE HIDROCOLOIDE-6,2016,6,Compra menor,10,ALMACENABLE,800
APOSITO MALLADO C/ PARAFINA-39,2016,6,Compra menor,6,ALMACENABLE,220
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2017,6,Concurso,0,ALMACENABLE,200
APOSITO C/ CARBON Y PLATA-6,2017,6,Concurso,0,ALMACENABLE,300
APOSITO MALLADO C/ PARAFINA-38,2017,6,Concurso,18,ALMACENABLE,250
APOSITO MALLADO C/ PARAFINA-39,2017,6,Concurso,18,ALMACENABLE,200
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2017,6,Compra menor,10,ALMACENABLE,200
APOSITO DE HIDROFIBRA  / CINTA-18,2018,6,Compra menor,18,TRANSITO,50
APÓSITO TRANSPARENTE ADHESIVO-24,2018,6,Compra menor,18,ALMACENABLE,2000
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2018,6,Compra menor,10,ALMACENABLE,200
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2018,6,Compra menor,6,TRANSITO,20
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2020,6,Compra menor,15,TRANSITO,4
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2020,6,Compra menor,17,TRANSITO,8
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,2020,6,Compra menor,2,TRANSITO,10
APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,2020,6,Concurso,11,TRANSITO,700
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2020,6,Compra menor,10,ALMACENABLE,160
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2020,6,Compra menor,12,TRANSITO,12
APÓSITO TRANSPARENTE ADHESIVO-24,2021,6,Concurso,18,ALMACENABLE,1600
APÓSITO TRANSPARENTE ADHESIVO-24,2021,6,Concurso,0,ALMACENABLE,2000
APOSITO DE FIBRAS DE POLIACRILATO-3,2021,6,Concurso,0,ALMACENABLE,80
APOSITO DE HIDROCOLOIDE-7,2021,6,Concurso,0,ALMACENABLE,100
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2021,6,Concurso,18,ALMACENABLE,60
APOSITO DE HIDROFIBRA  / CINTA-18,2022,6,Compra menor,14,TRANSITO,15
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,2022,6,Compra menor,10,TRANSITO,5
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,2022,6,Compra menor,4,TRANSITO,5
EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,2022,6,Compra menor,10,TRANSITO,5
APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,2022,6,Compra menor,10,TRANSITO,5
APOSITO MALLADO C/ PARAFINA-38,2022,6,Concurso,10,ALMACENABLE,240
APOSITO MALLADO C/ PARAFINA-38,2022,6,Concurso,13,ALMACENABLE,500
APOSITO DE HIDROCOLOIDE-9,2022,6,Concurso,0,ALMACENABLE,1008
APOSITO MALLADO C/ PARAFINA-39,2022,6,Concurso,10,ALMACENABLE,230
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2022,6,Concurso,0,ALMACENABLE,100
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,6,Concurso,14,TRANSITO,30
EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,2022,6,Compra menor,7,TRANSITO,10
BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,2022,6,Compra menor,10,TRANSITO,2
APÓSITO TRANSPARENTE ADHESIVO-24,2015,7,Compra menor,18,ALMACENABLE,3200
APOSITO C/ CARBON Y PLATA-6,2015,7,Concurso,10,ALMACENABLE,300
APOSITO C/ CARBON Y PLATA-6,2015,7,Concurso,18,ALMACENABLE,300
APOSITO DE ESPUMA POLIURETANO-8,2015,7,Concurso,10,ALMACENABLE,150
APOSITO MALLADO C/ PARAFINA-38,2015,7,Compra menor,13,ALMACENABLE,480
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2015,7,Compra menor,10,ALMACENABLE,150
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2016,7,Compra menor,18,TRANSITO,8
APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,2016,7,Compra menor,18,ALMACENABLE,200
APOSITO DE ESPUMA POLIURETANO-8,2016,7,Compra menor,4,ALMACENABLE,200
APOSITO DE HIDROCOLOIDE-6,2016,7,Compra menor,10,ALMACENABLE,650
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2019,7,Compra menor,4,ALMACENABLE,30
TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,2019,7,Compra menor,0,ALMACENABLE,350
APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,2019,7,Concurso,0,ALMACENABLE,50
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2019,7,Compra menor,10,ALMACENABLE,180
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2019,7,Concurso,0,ALMACENABLE,100
APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,2019,7,Concurso,11,TRANSITO,700
APOSITO DE ESPUMA POLIURETANO-8,2019,7,Concurso,10,ALMACENABLE,240
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2019,7,Compra menor,18,ALMACENABLE,4000
APOSITO DE HIDROCOLOIDE-6,2019,7,Concurso,10,ALMACENABLE,680
APOSITO DE FIBRAS DE POLIACRILATO-3,2019,7,Concurso,0,ALMACENABLE,80
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2019,7,Compra menor,0,ALMACENABLE,120
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,2019,7,Compra menor,0,ALMACENABLE,80
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2019,7,Compra menor,0,ALMACENABLE,100
HIDROGEL-37,2020,7,Compra menor,18,ALMACENABLE,110
APOSITO DE HIDROCOLOIDE-3,2020,7,Concurso,10,ALMACENABLE,250
APOSITO DE HIDROCOLOIDE C/ PLATA-2,2020,7,Compra menor,12,TRANSITO,48
APOSITO C/ CARBON Y PLATA-6,2020,7,Compra menor,18,ALMACENABLE,600
APOSITO DE HIDROCOLOIDE-9,2020,7,Compra menor,18,ALMACENABLE,219
APOSITO DE HIDROCOLOIDE-6,2020,7,Concurso,10,ALMACENABLE,610
APOSITO DE FIBRAS DE POLIACRILATO-3,2020,7,Compra menor,18,ALMACENABLE,100
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2020,7,Compra menor,13,ALMACENABLE,1000
APOSITO C/ CARBON Y PLATA-4,2020,7,Concurso,18,ALMACENABLE,180
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2020,7,Compra menor,18,TRANSITO,12
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2021,7,Compra menor,18,ALMACENABLE,70
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2021,7,Concurso,0,ALMACENABLE,200
APÓSITO TRANSPARENTE ADHESIVO-20,2021,7,Concurso,18,ALMACENABLE,650
HIDROGEL-37,2021,7,Concurso,10,ALMACENABLE,260
APOSITO DE FIBRAS DE POLIACRILATO-3,2021,7,Concurso,0,ALMACENABLE,80
APOSITO DE HIDROCOLOIDE-7,2021,7,Concurso,0,ALMACENABLE,100
APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,2021,7,Compra menor,11,TRANSITO,20
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2022,7,Compra menor,10,TRANSITO,10
APOSITO DE HIDROFIBRA  / CINTA-18,2022,7,Compra menor,14,TRANSITO,15
APOSITO DE HIDROFIBRA  / CINTA-18,2022,7,Compra menor,15,TRANSITO,15
APOSITO DE HIDROFIBRA  / CINTA-18,2022,7,Compra menor,14,TRANSITO,30
APOSITO DE HIDROFIBRA  / CINTA-18,2022,7,Compra menor,14,TRANSITO,5
APOSITO DE HIDROFIBRA  / CINTA-18,2022,7,Compra menor,14,TRANSITO,15
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2022,7,Concurso,0,ALMACENABLE,100
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2022,7,Concurso,10,ALMACENABLE,400
APÓSITO TRANSPARENTE ADHESIVO-24,2022,7,Concurso,7,ALMACENABLE,1000
APÓSITO ABSORBENTE C/ ADHESIVO-23,2022,7,Concurso,0,ALMACENABLE,1200
APOSITO DE ESPUMA POLIURETANO-8,2022,7,Concurso,18,ALMACENABLE,100
APOSITO DE ESPUMA POLIURETANO-8,2022,7,Concurso,10,ALMACENABLE,170
APOSITO DE HIDROCOLOIDE-9,2022,7,Concurso,10,ALMACENABLE,303
APOSITO DE FIBRAS DE POLIACRILATO-3,2022,7,Concurso,0,ALMACENABLE,80
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2022,7,Concurso,0,ALMACENABLE,200
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2022,7,Concurso,10,ALMACENABLE,140
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,7,Concurso,14,TRANSITO,100
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,7,Concurso,14,TRANSITO,30
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,7,Concurso,10,TRANSITO,20
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,7,Concurso,14,TRANSITO,80
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,7,Concurso,14,TRANSITO,50
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,7,Concurso,14,TRANSITO,100
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2016,8,Compra menor,18,TRANSITO,10
APOSITO DE HIDROFIBRA  / CINTA-18,2016,8,Compra menor,3,TRANSITO,30
APOSITO DE ESPUMA POLIURETANO-8,2016,8,Concurso,6,ALMACENABLE,40
APÓSITO TRANSPARENTE ADHESIVO-24,2018,8,Compra menor,18,ALMACENABLE,1600
APÓSITO ABSORBENTE C/ ADHESIVO-23,2018,8,Concurso,0,ALMACENABLE,480
APOSITO C/ CARBON Y PLATA-6,2018,8,Compra menor,13,ALMACENABLE,600
APOSITO DE HIDROCOLOIDE-6,2018,8,Concurso,10,ALMACENABLE,620
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2018,8,Compra menor,12,TRANSITO,12
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2018,8,Compra menor,10,TRANSITO,10
APOSITO DE HIDROFIBRA  / CINTA-18,2019,8,Compra menor,11,TRANSITO,10
APOSITO DE HIDROCOLOIDE-7,2019,8,Concurso,10,ALMACENABLE,95
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2019,8,Concurso,0,ALMACENABLE,200
APOSITO C/ CARBON Y PLATA-6,2019,8,Compra menor,18,ALMACENABLE,600
APOSITO MALLADO C/ PARAFINA-38,2019,8,Concurso,18,ALMACENABLE,230
APOSITO MALLADO C/ PARAFINA-39,2019,8,Concurso,18,ALMACENABLE,230
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2019,8,Compra menor,10,ALMACENABLE,120
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,2019,8,Compra menor,18,ALMACENABLE,70
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,2019,8,Compra menor,0,ALMACENABLE,80
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2019,8,Compra menor,18,ALMACENABLE,60
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2022,8,Compra menor,18,TRANSITO,5
EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,2022,8,Compra menor,7,TRANSITO,20
APOSITO MALLADO C/ PARAFINA-38,2022,8,Concurso,10,ALMACENABLE,210
APOSITO DE HIDROCOLOIDE-9,2022,8,Concurso,0,ALMACENABLE,1008
APOSITO MALLADO C/ PARAFINA-39,2022,8,Concurso,10,ALMACENABLE,250
APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,2022,8,Concurso,10,ALMACENABLE,110
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2022,8,Compra menor,12,TRANSITO,12
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2022,8,Compra menor,6,TRANSITO,12
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,2022,8,Concurso,10,ALMACENABLE,550
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2022,8,Concurso,0,ALMACENABLE,100
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,8,Concurso,15,TRANSITO,30
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2022,8,Concurso,14,TRANSITO,30
BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,2022,8,Compra menor,11,TRANSITO,5
BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,2022,8,Compra menor,11,TRANSITO,5
TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,2015,9,Compra menor,10,ALMACENABLE,350
APOSITO MALLADO C/ SILICONA-0,2015,9,Compra menor,0,ALMACENABLE,210
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2016,9,Compra menor,18,TRANSITO,10
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2020,9,Compra menor,15,TRANSITO,4
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2020,9,Compra menor,4,ALMACENABLE,60
APÓSITO ABSORBENTE C/ ADHESIVO-23,2020,9,Concurso,18,ALMACENABLE,1800
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2020,9,Concurso,5,TRANSITO,40
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2020,9,Concurso,5,TRANSITO,400
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2021,9,Compra menor,18,TRANSITO,2
APÓSITO TRANSPARENTE ADHESIVO-20,2021,9,Concurso,4,ALMACENABLE,550
APÓSITO ABSORBENTE C/ ADHESIVO-23,2021,9,Concurso,10,ALMACENABLE,600
APOSITO MALLADO C/ PARAFINA-38,2021,9,Concurso,18,ALMACENABLE,170
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2021,9,Compra menor,10,ALMACENABLE,100
APOSITO DE HIDROCOLOIDE-9,2021,9,Concurso,18,ALMACENABLE,231
APOSITO DE HIDROCOLOIDE-9,2021,9,Concurso,4,ALMACENABLE,120
APOSITO DE FIBRAS DE POLIACRILATO-3,2021,9,Concurso,18,ALMACENABLE,60
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2021,9,Concurso,10,ALMACENABLE,150
APOSITO C/ CARBON Y PLATA-4,2021,9,Concurso,18,ALMACENABLE,190
APOSITO C/ CARBON Y PLATA-4,2021,9,Concurso,10,ALMACENABLE,90
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2022,9,Compra menor,18,TRANSITO,10
GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,2022,9,Compra menor,11,TRANSITO,2
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2022,9,Compra menor,0,ALMACENABLE,100
APOSITO DE HIDROFIBRA  / CINTA-18,2022,9,Compra menor,12,TRANSITO,5
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2022,9,Concurso,10,ALMACENABLE,400
APÓSITO ABSORBENTE C/ ADHESIVO-22,2022,9,Compra menor,10,ALMACENABLE,1280
APÓSITO ABSORBENTE C/ ADHESIVO-22,2022,9,Compra menor,10,ALMACENABLE,1280
HIDROGEL-37,2022,9,Concurso,18,ALMACENABLE,80
APOSITO C/ CARBON Y PLATA-4,2022,9,Concurso,18,ALMACENABLE,150
APOSITO C/ CARBON Y PLATA-4,2022,9,Concurso,10,ALMACENABLE,300
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2022,9,Compra menor,12,TRANSITO,12
APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,2022,9,Concurso,10,ALMACENABLE,300
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2015,10,Compra menor,18,ALMACENABLE,80
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2015,10,Compra menor,0,ALMACENABLE,200
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2018,10,Compra menor,4,ALMACENABLE,30
APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,2018,10,Compra menor,12,TRANSITO,20
TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 2cm.-31,2019,10,Compra menor,10,ALMACENABLE,350
TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 2cm.-31,2019,10,Compra menor,0,ALMACENABLE,700
APOSITO DE HIDROFIBRA  / CINTA-18,2019,10,Compra menor,10,TRANSITO,10
HIDROGEL-37,2019,10,Compra menor,4,ALMACENABLE,80
HIDROGEL-37,2019,10,Compra menor,10,ALMACENABLE,250
APÓSITO TRANSPARENTE ADHESIVO-24,2019,10,Compra menor,10,ALMACENABLE,2000
APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,2019,10,Compra menor,13,ALMACENABLE,2000
APOSITO ABSORBENTE S/ ADHESIVO-25,2019,10,Compra menor,10,ALMACENABLE,200
APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,2019,10,Compra menor,10,ALMACENABLE,90
APOSITO C/ CARBON Y PLATA-4,2019,10,Concurso,18,ALMACENABLE,150
ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,2019,10,Compra menor,12,TRANSITO,12
