AÑO,MES,PRODUCTO,TIPOCOMPRA,HOSPITAL,TGL,CANTIDADCOMPRA
2015,1,APOSITO MALLADO C/ PARAFINA-38,Compra menor,0,ALMACENABLE,330
2015,1,APOSITO MALLADO C/ PARAFINA-38,Compra menor,10,ALMACENABLE,330
2015,1,APOSITO MALLADO C/ PARAFINA-38,Compra menor,13,ALMACENABLE,330
2015,1,APOSITO MALLADO C/ PARAFINA-38,Compra menor,4,ALMACENABLE,330
2015,1,APOSITO MALLADO C/ PARAFINA-38,Compra menor,6,ALMACENABLE,330
2015,1,APOSITO MALLADO C/ PARAFINA-39,Compra menor,18,ALMACENABLE,200
2015,1,APOSITO MALLADO C/ PARAFINA-39,Compra menor,6,ALMACENABLE,230
2015,1,APOSITO MALLADO C/ SILICONA-0,Compra menor,18,ALMACENABLE,420
2015,1,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,Compra menor,10,ALMACENABLE,8000
2015,1,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,Compra menor,18,ALMACENABLE,5000
2015,1,APÓSITO ABSORBENTE C/ ADHESIVO-22,Compra menor,13,ALMACENABLE,640
2015,1,APÓSITO ABSORBENTE C/ ADHESIVO-22,Compra menor,18,ALMACENABLE,5760
2015,1,APÓSITO ABSORBENTE C/ ADHESIVO-22,Compra menor,4,ALMACENABLE,640
2015,1,APÓSITO ABSORBENTE C/ ADHESIVO-22,Compra menor,6,ALMACENABLE,1280
2015,1,APÓSITO ABSORBENTE C/ ADHESIVO-23,Compra menor,0,ALMACENABLE,600
2015,1,APÓSITO ABSORBENTE C/ ADHESIVO-23,Compra menor,18,ALMACENABLE,1800
2015,1,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,Compra menor,18,ALMACENABLE,200
2015,1,APÓSITO TRANSPARENTE ADHESIVO-20,Compra menor,4,ALMACENABLE,400
2015,1,APÓSITO TRANSPARENTE ADHESIVO-24,Compra menor,0,ALMACENABLE,1600
2015,1,APÓSITO TRANSPARENTE ADHESIVO-24,Compra menor,10,ALMACENABLE,2000
2015,1,APÓSITO TRANSPARENTE ADHESIVO-24,Compra menor,4,ALMACENABLE,1200
2015,1,HIDROGEL-37,Compra menor,10,ALMACENABLE,335
2015,1,HIDROGEL-37,Compra menor,13,ALMACENABLE,190
2015,1,HIDROGEL-37,Compra menor,4,ALMACENABLE,100
2015,1,HIDROGEL-37,Compra menor,6,ALMACENABLE,35
2015,1,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,Compra menor,0,ALMACENABLE,100
2015,1,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,Compra menor,10,ALMACENABLE,20
2015,1,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,Compra menor,18,ALMACENABLE,20
2015,1,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,Compra menor,4,ALMACENABLE,40
2015,1,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,Compra menor,6,ALMACENABLE,40
2015,1,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,Compra menor,13,ALMACENABLE,350
2015,2,APOSITO C/ CARBON Y PLATA-4,Compra menor,18,ALMACENABLE,500
2015,2,APOSITO DE ESPUMA POLIURETANO / SACRO-11,Compra menor,0,ALMACENABLE,200
2015,2,APOSITO DE ESPUMA POLIURETANO / SACRO-11,Compra menor,10,ALMACENABLE,100
2015,2,APOSITO DE ESPUMA POLIURETANO-8,Compra menor,10,ALMACENABLE,190
2015,2,APOSITO DE ESPUMA POLIURETANO-8,Compra menor,18,ALMACENABLE,60
2015,2,APOSITO DE ESPUMA POLIURETANO-8,Compra menor,4,ALMACENABLE,80
2015,2,APOSITO DE ESPUMA POLIURETANO-8,Compra menor,6,ALMACENABLE,160
2015,2,APOSITO DE FIBRAS DE POLIACRILATO-3,Compra menor,0,ALMACENABLE,330
2015,2,APOSITO DE HIDROCOLOIDE-3,Compra menor,10,ALMACENABLE,680
2015,2,APOSITO DE HIDROCOLOIDE-6,Compra menor,10,ALMACENABLE,1060
2015,2,APOSITO DE HIDROCOLOIDE-9,Compra menor,0,ALMACENABLE,1002
2015,2,APOSITO DE HIDROCOLOIDE-9,Compra menor,10,ALMACENABLE,48
2015,2,APOSITO DE HIDROCOLOIDE-9,Compra menor,18,ALMACENABLE,402
2015,2,APOSITO DE HIDROCOLOIDE-9,Compra menor,4,ALMACENABLE,84
2015,2,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,10,TRANSITO,10
2015,2,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,11,TRANSITO,35
2015,2,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,12,TRANSITO,25
2015,2,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,4,TRANSITO,20
2015,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,Compra menor,0,ALMACENABLE,200
2015,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,Compra menor,10,ALMACENABLE,320
2015,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,0,ALMACENABLE,200
2015,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,10,ALMACENABLE,250
2015,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,13,ALMACENABLE,150
2015,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,18,ALMACENABLE,90
2015,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,4,ALMACENABLE,50
2015,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,6,ALMACENABLE,210
2015,2,APOSITO MALLADO C/ PARAFINA-38,Compra menor,0,ALMACENABLE,330
2015,2,APOSITO MALLADO C/ PARAFINA-38,Compra menor,13,ALMACENABLE,330
2015,2,APOSITO MALLADO C/ PARAFINA-39,Compra menor,18,ALMACENABLE,200
2015,2,APOSITO MALLADO C/ PARAFINA-39,Compra menor,6,ALMACENABLE,190
2015,2,APOSITO MALLADO C/ SILICONA-0,Compra menor,0,ALMACENABLE,210
2015,2,APOSITO MALLADO C/ SILICONA-0,Compra menor,18,ALMACENABLE,420
2015,2,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,Compra menor,10,ALMACENABLE,6000
2015,2,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,Compra menor,6,ALMACENABLE,5000
2015,2,APÓSITO ABSORBENTE C/ ADHESIVO-22,Compra menor,6,ALMACENABLE,1280
2015,2,APÓSITO ABSORBENTE C/ ADHESIVO-23,Compra menor,18,ALMACENABLE,1200
2015,2,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,Compra menor,11,TRANSITO,1050
2015,2,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,Compra menor,0,ALMACENABLE,200
2015,2,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,Compra menor,18,ALMACENABLE,400
2015,2,APÓSITO TRANSPARENTE ADHESIVO-20,Compra menor,10,ALMACENABLE,1000
2015,2,APÓSITO TRANSPARENTE ADHESIVO-20,Compra menor,4,ALMACENABLE,600
2015,2,APÓSITO TRANSPARENTE ADHESIVO-24,Compra menor,0,ALMACENABLE,800
2015,2,APÓSITO TRANSPARENTE ADHESIVO-24,Compra menor,10,ALMACENABLE,1600
2015,2,APÓSITO TRANSPARENTE ADHESIVO-24,Compra menor,18,ALMACENABLE,3200
2015,2,HIDROGEL-37,Compra menor,0,ALMACENABLE,200
2015,2,HIDROGEL-37,Compra menor,10,ALMACENABLE,575
2015,2,HIDROGEL-37,Compra menor,13,ALMACENABLE,190
2015,2,HIDROGEL-37,Compra menor,4,ALMACENABLE,40
2015,2,HIDROGEL-37,Compra menor,6,ALMACENABLE,65
2015,2,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,Compra menor,4,ALMACENABLE,40
2015,2,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,Compra menor,6,ALMACENABLE,40
2015,2,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 2cm.-31,Compra menor,10,ALMACENABLE,350
2015,3,APOSITO ABSORBENTE S/ ADHESIVO-25,Compra menor,10,ALMACENABLE,400
2015,3,APOSITO C/ CARBON Y PLATA-4,Compra menor,10,ALMACENABLE,150
2015,3,APOSITO C/ CARBON Y PLATA-4,Compra menor,18,ALMACENABLE,550
2015,3,APOSITO C/ CARBON Y PLATA-6,Concurso,0,ALMACENABLE,300
2015,3,APOSITO C/ CARBON Y PLATA-6,Concurso,10,ALMACENABLE,300
2015,3,APOSITO C/ CARBON Y PLATA-6,Concurso,13,ALMACENABLE,300
2015,3,APOSITO C/ CARBON Y PLATA-6,Concurso,18,ALMACENABLE,600
2015,3,APOSITO C/ CARBON Y PLATA-6,Concurso,4,ALMACENABLE,300
2015,3,APOSITO DE ALGINATO C/ PLATA-6,Compra menor,10,ALMACENABLE,110
2015,3,APOSITO DE ESPUMA POLIURETANO / SACRO-11,Concurso,0,ALMACENABLE,200
2015,3,APOSITO DE ESPUMA POLIURETANO-8,Compra menor,10,ALMACENABLE,160
2015,3,APOSITO DE ESPUMA POLIURETANO-8,Concurso,0,ALMACENABLE,200
2015,3,APOSITO DE ESPUMA POLIURETANO-8,Concurso,10,ALMACENABLE,160
2015,3,APOSITO DE ESPUMA POLIURETANO-8,Concurso,4,ALMACENABLE,160
2015,3,APOSITO DE ESPUMA POLIURETANO-8,Concurso,6,ALMACENABLE,50
2015,3,APOSITO DE HIDROCOLOIDE C/ PLATA-2,Compra menor,12,TRANSITO,80
2015,3,APOSITO DE HIDROCOLOIDE-3,Compra menor,10,ALMACENABLE,635
2015,3,APOSITO DE HIDROCOLOIDE-6,Compra menor,10,ALMACENABLE,1600
2015,3,APOSITO DE HIDROCOLOIDE-7,Compra menor,0,ALMACENABLE,200
2015,3,APOSITO DE HIDROCOLOIDE-7,Compra menor,10,ALMACENABLE,170
2015,3,APOSITO DE HIDROCOLOIDE-7,Compra menor,13,ALMACENABLE,200
2015,3,APOSITO DE HIDROCOLOIDE-7,Compra menor,18,ALMACENABLE,180
2015,3,APOSITO DE HIDROCOLOIDE-9,Compra menor,10,ALMACENABLE,60
2015,3,APOSITO DE HIDROCOLOIDE-9,Compra menor,18,ALMACENABLE,402
2015,3,APOSITO DE HIDROCOLOIDE-9,Compra menor,4,ALMACENABLE,39
2015,3,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,11,TRANSITO,70
2015,3,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,12,TRANSITO,40
2015,3,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,3,TRANSITO,30
2015,3,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,4,TRANSITO,20
2015,3,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,Compra menor,0,ALMACENABLE,200
2015,3,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,Compra menor,10,ALMACENABLE,190
2015,3,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,0,ALMACENABLE,200
2015,3,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,10,ALMACENABLE,220
2015,3,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,13,ALMACENABLE,400
2015,3,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,6,ALMACENABLE,370
2015,3,APOSITO MALLADO C/ PARAFINA-38,Compra menor,13,ALMACENABLE,330
2015,3,APOSITO MALLADO C/ PARAFINA-38,Compra menor,4,ALMACENABLE,330
2015,3,APOSITO MALLADO C/ PARAFINA-38,Compra menor,6,ALMACENABLE,330
2015,3,APOSITO MALLADO C/ PARAFINA-39,Compra menor,18,ALMACENABLE,220
2015,3,APOSITO MALLADO C/ PARAFINA-39,Compra menor,6,ALMACENABLE,130
2015,3,APOSITO MALLADO C/ SILICONA-0,Compra menor,18,ALMACENABLE,420
2015,3,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,Compra menor,10,ALMACENABLE,5000
2015,3,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,Compra menor,18,ALMACENABLE,6000
2015,3,APÓSITO ABSORBENTE C/ ADHESIVO-22,Compra menor,0,ALMACENABLE,1280
2015,3,APÓSITO ABSORBENTE C/ ADHESIVO-22,Compra menor,13,ALMACENABLE,640
2015,3,APÓSITO ABSORBENTE C/ ADHESIVO-22,Compra menor,18,ALMACENABLE,5120
2015,3,APÓSITO ABSORBENTE C/ ADHESIVO-22,Compra menor,4,ALMACENABLE,1280
2015,3,APÓSITO ABSORBENTE C/ ADHESIVO-23,Compra menor,0,ALMACENABLE,600
2015,3,APÓSITO ABSORBENTE C/ ADHESIVO-23,Compra menor,18,ALMACENABLE,1500
2015,3,APÓSITO ABSORBENTE C/ ADHESIVO-23,Compra menor,4,ALMACENABLE,300
2015,3,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,Compra menor,11,TRANSITO,700
2015,3,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,Compra menor,18,TRANSITO,350
2015,3,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,Concurso,11,TRANSITO,1050
2015,3,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,Compra menor,18,ALMACENABLE,400
2015,3,APÓSITO TRANSPARENTE ADHESIVO-20,Compra menor,10,ALMACENABLE,800
2015,3,APÓSITO TRANSPARENTE ADHESIVO-20,Compra menor,4,ALMACENABLE,1000
2015,3,APÓSITO TRANSPARENTE ADHESIVO-24,Compra menor,0,ALMACENABLE,1600
2015,3,APÓSITO TRANSPARENTE ADHESIVO-24,Compra menor,10,ALMACENABLE,3600
2015,3,APÓSITO TRANSPARENTE ADHESIVO-24,Compra menor,18,ALMACENABLE,2800
2015,3,APÓSITO TRANSPARENTE ADHESIVO-24,Compra menor,4,ALMACENABLE,2400
2015,3,APÓSITO TRANSPARENTE ADHESIVO-24,Compra menor,6,ALMACENABLE,1200
2015,3,HIDROGEL-37,Compra menor,0,ALMACENABLE,250
2015,3,HIDROGEL-37,Compra menor,10,ALMACENABLE,515
2015,3,HIDROGEL-37,Compra menor,13,ALMACENABLE,250
2015,3,HIDROGEL-37,Compra menor,4,ALMACENABLE,35
2015,3,HIDROGEL-37,Compra menor,6,ALMACENABLE,45
2015,3,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,Compra menor,0,ALMACENABLE,100
2015,3,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,Compra menor,10,ALMACENABLE,20
2015,3,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,Compra menor,18,ALMACENABLE,20
2015,3,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,Compra menor,4,ALMACENABLE,60
2015,3,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,Compra menor,6,ALMACENABLE,40
2015,3,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,Compra menor,10,ALMACENABLE,350
2015,4,APOSITO ABSORBENTE S/ ADHESIVO-25,Compra menor,10,ALMACENABLE,400
2015,4,APOSITO C/ CARBON Y PLATA-4,Compra menor,18,ALMACENABLE,700
2015,4,APOSITO C/ CARBON Y PLATA-6,Concurso,0,ALMACENABLE,300
2015,4,APOSITO C/ CARBON Y PLATA-6,Concurso,10,ALMACENABLE,600
2015,4,APOSITO C/ CARBON Y PLATA-6,Concurso,13,ALMACENABLE,1800
2015,4,APOSITO C/ CARBON Y PLATA-6,Concurso,18,ALMACENABLE,300
2015,4,APOSITO DE ESPUMA POLIURETANO / SACRO-11,Concurso,0,ALMACENABLE,200
2015,4,APOSITO DE ESPUMA POLIURETANO-8,Concurso,10,ALMACENABLE,330
2015,4,APOSITO DE FIBRAS DE POLIACRILATO-3,Compra menor,0,ALMACENABLE,330
2015,4,APOSITO DE HIDROCOLOIDE-3,Compra menor,10,ALMACENABLE,650
2015,4,APOSITO DE HIDROCOLOIDE-6,Compra menor,10,ALMACENABLE,1100
2015,4,APOSITO DE HIDROCOLOIDE-7,Compra menor,10,ALMACENABLE,70
2015,4,APOSITO DE HIDROCOLOIDE-7,Compra menor,13,ALMACENABLE,1100
2015,4,APOSITO DE HIDROCOLOIDE-9,Compra menor,0,ALMACENABLE,1002
2015,4,APOSITO DE HIDROCOLOIDE-9,Compra menor,10,ALMACENABLE,60
2015,4,APOSITO DE HIDROCOLOIDE-9,Compra menor,18,ALMACENABLE,402
2015,4,APOSITO DE HIDROCOLOIDE-9,Compra menor,4,ALMACENABLE,60
2015,4,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,10,TRANSITO,15
2015,4,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,12,TRANSITO,25
2015,4,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,4,TRANSITO,10
2015,4,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,Compra menor,0,ALMACENABLE,400
2015,4,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,Compra menor,10,ALMACENABLE,310
2015,4,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,0,ALMACENABLE,200
2015,4,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,10,ALMACENABLE,435
2015,4,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,13,ALMACENABLE,1200
2015,4,APOSITO MALLADO C/ PARAFINA-38,Compra menor,13,ALMACENABLE,930
2015,4,APOSITO MALLADO C/ PARAFINA-38,Compra menor,6,ALMACENABLE,330
2015,4,APOSITO MALLADO C/ PARAFINA-39,Compra menor,18,ALMACENABLE,200
2015,4,APOSITO MALLADO C/ SILICONA-0,Compra menor,0,ALMACENABLE,140
2015,4,APOSITO MALLADO C/ SILICONA-0,Compra menor,18,ALMACENABLE,420
2015,4,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,Compra menor,10,ALMACENABLE,2000
2015,4,APÓSITO ABSORBENTE C/ ADHESIVO-22,Compra menor,13,ALMACENABLE,640
2015,4,APÓSITO ABSORBENTE C/ ADHESIVO-22,Compra menor,18,ALMACENABLE,5120
2015,4,APÓSITO ABSORBENTE C/ ADHESIVO-22,Compra menor,6,ALMACENABLE,1280
2015,4,APÓSITO ABSORBENTE C/ ADHESIVO-23,Compra menor,0,ALMACENABLE,600
2015,4,APÓSITO ABSORBENTE C/ ADHESIVO-23,Compra menor,18,ALMACENABLE,1800
2015,4,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,Concurso,10,TRANSITO,350
2015,4,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,Concurso,11,TRANSITO,700
2015,4,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,Concurso,18,TRANSITO,700
2015,4,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,Concurso,18,ALMACENABLE,400
2015,4,APÓSITO TRANSPARENTE ADHESIVO-20,Compra menor,4,ALMACENABLE,600
2015,4,APÓSITO TRANSPARENTE ADHESIVO-24,Compra menor,0,ALMACENABLE,2000
2015,4,APÓSITO TRANSPARENTE ADHESIVO-24,Compra menor,10,ALMACENABLE,1600
2015,4,APÓSITO TRANSPARENTE ADHESIVO-24,Compra menor,18,ALMACENABLE,6400
2015,4,HIDROGEL-37,Compra menor,0,ALMACENABLE,100
2015,4,HIDROGEL-37,Compra menor,10,ALMACENABLE,500
2015,4,HIDROGEL-37,Compra menor,13,ALMACENABLE,800
2015,4,HIDROGEL-37,Compra menor,18,ALMACENABLE,300
2015,4,HIDROGEL-37,Compra menor,4,ALMACENABLE,30
2015,4,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,Compra menor,10,ALMACENABLE,20
2015,4,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,Compra menor,18,ALMACENABLE,20
2015,4,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,Compra menor,4,ALMACENABLE,50
2015,5,APOSITO C/ CARBON Y PLATA-4,Compra menor,10,ALMACENABLE,100
2015,5,APOSITO C/ CARBON Y PLATA-4,Compra menor,18,ALMACENABLE,450
2015,5,APOSITO C/ CARBON Y PLATA-6,Concurso,0,ALMACENABLE,300
2015,5,APOSITO C/ CARBON Y PLATA-6,Concurso,10,ALMACENABLE,300
2015,5,APOSITO C/ CARBON Y PLATA-6,Concurso,18,ALMACENABLE,300
2015,5,APOSITO C/ CARBON Y PLATA-6,Concurso,6,ALMACENABLE,300
2015,5,APOSITO DE ALGINATO C/ PLATA-6,Compra menor,10,ALMACENABLE,100
2015,5,APOSITO DE ESPUMA POLIURETANO / SACRO-11,Concurso,0,ALMACENABLE,200
2015,5,APOSITO DE ESPUMA POLIURETANO / SACRO-11,Concurso,10,ALMACENABLE,100
2015,5,APOSITO DE ESPUMA POLIURETANO-8,Concurso,10,ALMACENABLE,170
2015,5,APOSITO DE ESPUMA POLIURETANO-8,Concurso,18,ALMACENABLE,60
2015,5,APOSITO DE ESPUMA POLIURETANO-8,Concurso,4,ALMACENABLE,150
2015,5,APOSITO DE FIBRAS DE POLIACRILATO-3,Compra menor,10,ALMACENABLE,330
2015,5,APOSITO DE HIDROCOLOIDE-3,Compra menor,10,ALMACENABLE,675
2015,5,APOSITO DE HIDROCOLOIDE-6,Compra menor,10,ALMACENABLE,1160
2015,5,APOSITO DE HIDROCOLOIDE-7,Compra menor,10,ALMACENABLE,120
2015,5,APOSITO DE HIDROCOLOIDE-7,Compra menor,18,ALMACENABLE,145
2015,5,APOSITO DE HIDROCOLOIDE-9,Compra menor,0,ALMACENABLE,1002
2015,5,APOSITO DE HIDROCOLOIDE-9,Compra menor,18,ALMACENABLE,258
2015,5,APOSITO DE HIDROCOLOIDE-9,Compra menor,4,ALMACENABLE,45
2015,5,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,10,TRANSITO,20
2015,5,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,12,TRANSITO,20
2015,5,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,4,TRANSITO,10
2015,5,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,Compra menor,0,ALMACENABLE,400
2015,5,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,Compra menor,10,ALMACENABLE,170
2015,5,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,0,ALMACENABLE,100
2015,5,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,10,ALMACENABLE,210
2015,5,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,13,ALMACENABLE,400
2015,5,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,4,ALMACENABLE,30
2015,5,APOSITO MALLADO C/ PARAFINA-38,Compra menor,4,ALMACENABLE,330
2015,5,APOSITO MALLADO C/ PARAFINA-38,Compra menor,6,ALMACENABLE,330
2015,5,APOSITO MALLADO C/ PARAFINA-39,Compra menor,18,ALMACENABLE,300
2015,5,APOSITO MALLADO C/ PARAFINA-39,Compra menor,6,ALMACENABLE,430
2015,5,APOSITO MALLADO C/ SILICONA-0,Compra menor,18,ALMACENABLE,420
2015,5,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,Compra menor,10,ALMACENABLE,1000
2015,5,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,Compra menor,13,ALMACENABLE,3000
2015,5,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,Compra menor,18,ALMACENABLE,6000
2015,5,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,Compra menor,6,ALMACENABLE,6000
2015,5,APÓSITO ABSORBENTE C/ ADHESIVO-22,Compra menor,13,ALMACENABLE,640
2015,5,APÓSITO ABSORBENTE C/ ADHESIVO-22,Compra menor,18,ALMACENABLE,5120
2015,5,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,Concurso,0,ALMACENABLE,200
2015,5,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,Concurso,18,ALMACENABLE,400
