CODIGO,NUMERO,REFERENCIA,CANTIDADCOMPRA,UNIDADESCONSUMOCONTENIDAS,PRECIO,IMPORTELINEA,TIPOCOMPRA,TGL,PRODUCTO,REGION,HOSPITAL,DEPARTAMENTO,MES,AÑO,PRECIOUNIDAD
E85758,125704/23,33436,480,240,654.72372,1309.44744,Concurso,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,0,10,1,2,2023,2.7280154999999997
E99808,120356/23,178567.1,30,10,62.59,187.77,Compra menor,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,0,14,50,2,2023,6.259
E99808,125324/23,178567.1,20,10,62.59,125.18,Compra menor,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,0,12,80,2,2023,6.259
E99808,124282/23,178567.1,100,10,62.59,625.9,Compra menor,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,0,15,16,2,2023,6.2589999999999995
F43325,125146/23,409761,20,10,733.21,1466.42,Compra menor,TRANSITO,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,0,11,113,2,2023,73.321
F44200,125134/23,421551,2,1,111.1022,222.2044,Compra menor,TRANSITO,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,0,11,136,2,2023,111.1022
E64663,146560/16,413568,250,5,29.15,1457.5,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,0,10,1,3,2016,5.83
E64765,146680/16,1385,600,300,61.722222,123.444444,Compra menor,ALMACENABLE,APÓSITO ABSORBENTE C/ ADHESIVO-23,0,0,2,3,2016,0.20574074
E64940,146940/16,291010,140,70,493.416,986.832,Compra menor,ALMACENABLE,APOSITO MALLADO C/ SILICONA-0,0,10,1,3,2016,7.0488
E65056,146553/16,3533,900,3,1.8513,555.39,Compra menor,ALMACENABLE,APOSITO DE HIDROCOLOIDE-9,0,0,2,3,2016,0.6171
E64663,161877/17,413568,350,5,26.950275,1886.51925,Concurso,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,0,13,1,3,2017,5.390055
E64761,162355/17,265868.4,50,5,13.497,134.97,Compra menor,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0,0,13,3,2017,2.6994
E73753,162035/17,MAP190,220,10,61.40211,1350.84642,Concurso,ALMACENABLE,APOSITO C/ CARBON Y PLATA-4,0,18,1,3,2017,6.140211000000001
E64761,176774/18,265868.4,50,5,13.497,134.97,Compra menor,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0,0,51,3,2018,2.6994
E64932,176389/18,39001,300,5,5.24537,314.7222,Compra menor,ALMACENABLE,HIDROGEL-37,0,13,1,3,2018,1.049074
E64911,176455/18,20701,600,300,792.0,1584.0,Compra menor,ALMACENABLE,APOSITO C/ CARBON Y PLATA-6,0,13,1,3,2018,2.64
E65159,176634/18,281 421,1000,1000,10.461204,10.461204,Compra menor,ALMACENABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,0,0,2,3,2018,0.010461204
E65159,176635/18,281 421,2000,1000,10.461204,20.922408,Compra menor,ALMACENABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,0,13,1,3,2018,0.010461204
E66071,176448/18,420680,240,10,20.9,501.6,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,0,0,2,3,2018,2.0900000000000003
E64544,188447/19,420621,150,10,42.9,643.5,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,0,10,1,3,2019,4.29
E64663,188445/19,413568,100,100,539.0055,539.0055,Concurso,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,0,0,2,3,2019,5.390055
E65509,188655/19,161445.2,300,10,53.888999,1616.66997,Concurso,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO-3,0,10,1,3,2019,5.388899899999999
E66071,188447/19,420680,160,10,20.9,334.4,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,0,10,1,3,2019,2.09
E65485,226928/22,33115,30,5,5.6529,33.9174,Concurso,ALMACENABLE,APOSITO DE HIDROCOLOIDE-3,0,4,1,3,2022,1.13058
E64544,226947/22,420621,360,10,42.349958,1524.598488,Concurso,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,0,10,1,3,2022,4.2349958
E64946,226926/22,34100,150,10,13.959,209.385,Concurso,ALMACENABLE,APOSITO DE ESPUMA POLIURETANO-8,0,10,1,3,2022,1.3959
E65007,227036/22,20415,50,50,215.325,215.325,Compra menor,ALMACENABLE,APOSITO DE ESPUMA POLIURETANO / SACRO-11,0,10,1,3,2022,4.3065
E99807,227320/22,178565.7,50,10,47.19,235.95,Concurso,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,0,18,1,3,2022,4.718999999999999
E64543,250372/23,403770,15,5,12.1,36.3,Compra menor,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18,0,14,23,3,2023,2.42
E64663,250363/23,413568,170,5,26.399925,897.59745,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,0,18,1,3,2023,5.279985
E65485,250258/23,33115,210,5,5.6529,237.4218,Concurso,ALMACENABLE,APOSITO DE HIDROCOLOIDE-3,0,10,1,3,2023,1.13058
F43580,251129/23,409729,25,5,437.02,2185.1,Compra menor,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,0,18,108,3,2023,87.404
F43581,251129/23,409726,15,5,461.31,1383.93,Compra menor,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,0,18,108,3,2023,92.262
F43585,250990/23,M8275098/5,5,5,510.4,510.4,Compra menor,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,0,11,112,3,2023,102.08
E64544,250360/23,420621,400,10,42.349958,1693.99832,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,0,10,1,3,2023,4.2349958
E64911,250381/23,20701,300,300,766.128,766.128,Concurso,ALMACENABLE,APOSITO C/ CARBON Y PLATA-6,0,10,1,3,2023,2.55376
E64983,250627/23,157027.7,270,10,15.345,414.315,Compra menor,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-38,0,10,1,3,2023,1.5345
E64983,250631/23,157027.7,300,10,15.345,460.35,Compra menor,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-38,0,18,1,3,2023,1.5345
E65159,250632/23,281 421,5000,1000,14.1,70.5,Compra menor,ALMACENABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,0,18,1,3,2023,0.0141
E65894,250627/23,157028.4,250,10,34.98,874.5,Compra menor,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-39,0,10,1,3,2023,3.498
E65894,250631/23,157028.4,200,10,34.98,699.6,Compra menor,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-39,0,18,1,3,2023,3.498
E85758,250258/23,33436,450,10,27.280155,1227.606975,Concurso,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,0,10,1,3,2023,2.7280154999999997
E85758,250273/23,33436,40,10,27.280155,109.12062,Concurso,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,0,18,1,3,2023,2.7280155
E99808,251275/23,178567.1,10,10,62.59,62.59,Compra menor,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,0,11,113,3,2023,6.259
E99808,250374/23,178567.1,30,10,62.59,187.77,Compra menor,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,0,14,23,3,2023,6.259
F42922,251129/23,409721,9,3,1633.22,4899.66,Compra menor,TRANSITO,EQ. DE PRESIÓN NEGATIVA ABDOMINAL-29,0,18,108,3,2023,544.4066666666666
E65485,286977/15,31150,320,5,8.250039,528.002496,Compra menor,ALMACENABLE,APOSITO DE HIDROCOLOIDE-3,0,10,1,4,2015,1.6500077999999998
E65159,287119/15,281 421,2000,1000,10.461204,20.922408,Compra menor,ALMACENABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,0,10,1,4,2015,0.010461204
E64663,295389/16,413568,200,5,29.15,1166.0,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,0,0,2,4,2016,5.83
E64663,295397/16,413568,205,5,29.15,1195.15,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,0,10,1,4,2016,5.83
E64932,295144/16,39001,60,5,5.24537,62.94444,Compra menor,ALMACENABLE,HIDROGEL-37,0,0,2,4,2016,1.049074
E64911,295904/16,20701,300,300,792.0,792.0,Compra menor,ALMACENABLE,APOSITO C/ CARBON Y PLATA-6,0,0,2,4,2016,2.64
E64911,295917/16,20701,600,300,792.0,1584.0,Compra menor,ALMACENABLE,APOSITO C/ CARBON Y PLATA-6,0,6,1,4,2016,2.64
E64940,298966/16,291010,70,70,493.416,493.416,Compra menor,ALMACENABLE,APOSITO MALLADO C/ SILICONA-0,0,0,2,4,2016,7.0488
E65159,297916/16,281 421,2000,1000,10.461204,20.922408,Compra menor,ALMACENABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,0,10,1,4,2016,0.010461204
E64751,289804/19,1624W,2000,400,44.0,220.0,Compra menor,ALMACENABLE,APÓSITO TRANSPARENTE ADHESIVO-24,0,10,1,4,2019,0.11
E65201,290196/19,3760,100,10,14.0,140.0,Compra menor,ALMACENABLE,APOSITO DE ALGINATO C/ PLATA-6,0,10,1,4,2019,1.4
E73753,290907/19,MAP190,170,10,61.40211,1043.83587,Concurso,ALMACENABLE,APOSITO C/ CARBON Y PLATA-4,0,18,1,4,2019,6.140211000000001
E99807,290909/19,178565.7,70,10,47.3,331.1,Compra menor,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,0,18,1,4,2019,4.73
E64932,347252/20,39001,265,5,5.24537,278.00461,Compra menor,ALMACENABLE,HIDROGEL-37,0,10,1,4,2020,1.049074
F50071,348052/20,421554,5,5,114.95,114.95,Compra menor,TRANSITO,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,0,11,168,4,2020,22.990000000000002
E64663,347279/20,413568,800,100,539.0055,4312.044,Concurso,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,0,13,1,4,2020,5.390055
F46846,348053/20,66802003,5,1,154.0,770.0,Compra menor,TRANSITO,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,0,11,168,4,2020,154.0
B40558,389579/22,400505,10,1,11.22,112.2,Compra menor,TRANSITO,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,0,10,163,4,2022,11.22
B41691,393105/22,400403,110,10,107.25,1179.75,Compra menor,ALMACENABLE,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,0,10,1,4,2022,10.725
E64544,393757/22,420621,120,10,42.349958,508.199496,Concurso,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,0,0,2,4,2022,4.2349958
E65509,393755/22,161445.2,100,10,53.68,536.8,Concurso,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO-3,0,0,2,4,2022,5.367999999999999
E85758,393758/22,33436,100,10,27.280155,272.80155,Concurso,ALMACENABLE,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,0,0,2,4,2022,2.7280155
B41691,442124/15,400403,30,10,102.803729,308.411187,Compra menor,ALMACENABLE,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,0,6,1,6,2015,10.2803729
B41691,442130/15,400403,30,10,102.803729,308.411187,Compra menor,ALMACENABLE,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,0,4,1,6,2015,10.2803729
E64663,442156/15,413568,200,5,29.15,1166.0,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,0,6,1,6,2015,5.83
E64764,442202/15,37147,5120,640,68.288,546.304,Compra menor,ALMACENABLE,APÓSITO ABSORBENTE C/ ADHESIVO-22,0,18,1,6,2015,0.10669999999999999
E64911,442178/15,20701,600,300,792.0,1584.0,Concurso,ALMACENABLE,APOSITO C/ CARBON Y PLATA-6,0,13,1,6,2015,2.64
E64983,442238/15,157027.7,350,10,17.27,604.45,Compra menor,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-38,0,13,1,6,2015,1.727
E65159,442230/15,281 421,2000,1000,10.461204,20.922408,Compra menor,ALMACENABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,0,10,1,6,2015,0.010461204
E64543,558445/16,403770,10,5,12.1,24.2,Compra menor,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18,0,4,129,6,2016,2.42
E64663,559223/16,413568,70,5,29.15,408.1,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,0,18,1,6,2016,5.83
E65485,559220/16,31150,400,5,8.250039,660.00312,Compra menor,ALMACENABLE,APOSITO DE HIDROCOLOIDE-3,0,10,1,6,2016,1.6500078
E65486,559220/16,31100,800,10,6.677003,534.16024,Compra menor,ALMACENABLE,APOSITO DE HIDROCOLOIDE-6,0,10,1,6,2016,0.6677003
E65894,559420/16,157028.4,220,10,35.2,774.4,Compra menor,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-39,0,6,1,6,2016,3.52
E64663,412026/17,413568,200,100,539.0055,1078.011,Concurso,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,0,0,2,6,2017,5.390055
E64911,412043/17,20701,300,300,792.0,792.0,Concurso,ALMACENABLE,APOSITO C/ CARBON Y PLATA-6,0,0,2,6,2017,2.64
E64983,412748/17,157027.7,250,10,17.259,431.475,Concurso,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-38,0,18,1,6,2017,1.7259
E65894,412748/17,157028.4,200,10,35.189001,703.78002,Concurso,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-39,0,18,1,6,2017,3.5189001
E66071,412023/17,420680,200,10,20.9,418.0,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,0,10,1,6,2017,2.09
E64543,500871/18,403770,50,5,12.1,121.0,Compra menor,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18,0,18,173,6,2018,2.42
E64751,500581/18,1624W,2000,400,44.0,220.0,Compra menor,ALMACENABLE,APÓSITO TRANSPARENTE ADHESIVO-24,0,18,1,6,2018,0.11
E66071,500613/18,420680,200,10,20.9,418.0,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,0,10,1,6,2018,2.09
E99808,499753/18,178567.1,20,10,62.7,125.4,Compra menor,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,0,6,76,6,2018,6.2700000000000005
B40558,573270/20,400505,4,1,9.9,39.6,Compra menor,TRANSITO,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,0,15,15,6,2020,9.9
B40558,574054/20,400505,8,1,9.9,79.2,Compra menor,TRANSITO,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,0,17,162,6,2020,9.9
F43580,574119/20,409729,10,5,324.148,648.296,Compra menor,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,1,2,59,6,2020,64.8296
E64898,573850/20,0037447,700,350,577.5,1155.0,Concurso,TRANSITO,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,0,11,118,6,2020,1.65
E66071,573085/20,420680,160,10,20.9,334.4,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,0,10,1,6,2020,2.09
E78950,571951/20,TR101,12,12,77.88,77.88,Compra menor,TRANSITO,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,0,12,154,6,2020,6.489999999999999
E64751,545211/21,4628,1600,100,9.900001,158.400016,Concurso,ALMACENABLE,APÓSITO TRANSPARENTE ADHESIVO-24,0,18,1,6,2021,0.09900001
E64751,545213/21,4628,2000,2000,198.000012,198.000012,Concurso,ALMACENABLE,APÓSITO TRANSPARENTE ADHESIVO-24,0,0,2,6,2021,0.099000006
E65509,539633/21,161445.2,80,80,429.44,429.44,Concurso,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO-3,0,0,2,6,2021,5.368
E70130,539142/21,187662,100,50,119.9,239.8,Concurso,ALMACENABLE,APOSITO DE HIDROCOLOIDE-7,0,0,2,6,2021,2.398
E99807,539641/21,178565.7,60,10,47.19,283.14,Concurso,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,0,18,1,6,2021,4.718999999999999
E64543,663580/22,403770,15,5,12.1,36.3,Compra menor,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18,0,14,50,6,2022,2.42
F43580,660707/22,M8275051/5,5,5,412.5,412.5,Compra menor,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,0,10,155,6,2022,82.5
F43580,662037/22,M8275051/5,5,5,412.5,412.5,Compra menor,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,0,4,111,6,2022,82.5
F43585,660707/22,M8275098/5,5,5,510.4,510.4,Compra menor,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,0,10,155,6,2022,102.08
F50071,660706/22,421554,5,5,114.95,114.95,Compra menor,TRANSITO,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,0,10,155,6,2022,22.990000000000002
E64983,662444/22,157027.7,240,10,15.345,368.28,Concurso,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-38,0,10,1,6,2022,1.5345
E64983,661340/22,157027.7,500,10,15.345,767.25,Concurso,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-38,0,13,1,6,2022,1.5345
E65056,663385/22,33533,1008,3,0.989571,332.495856,Concurso,ALMACENABLE,APOSITO DE HIDROCOLOIDE-9,0,0,2,6,2022,0.329857
E65894,661344/22,157028.4,230,10,34.98,804.54,Concurso,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-39,0,10,1,6,2022,3.4979999999999998
E99807,663386/22,178565.7,100,10,47.19,471.9,Concurso,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,0,0,2,6,2022,4.718999999999999
E99808,663576/22,178567.1,30,10,62.595,187.785,Concurso,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,0,14,50,6,2022,6.2595
F43585,663495/22,M8275096/10,10,10,1126.4,1126.4,Compra menor,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,0,7,11,6,2022,112.64000000000001
F44200,660706/22,421551,2,1,111.1022,222.2044,Compra menor,TRANSITO,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,0,10,155,6,2022,111.1022
B40558,680820/23,400505,4,1,9.88899,39.55596,Concurso,TRANSITO,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,0,9,74,6,2023,9.88899
