AÑO,MES,PRODUCTO,CANTIDADCOMPRA
2023,1,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,4
2023,1,APOSITO DE HIDROCOLOIDE-6,610
2023,1,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,1560
2023,1,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,340
2023,1,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,350
2023,1,APÓSITO TRANSPARENTE ADHESIVO-20,3100
2023,1,APOSITO ABSORBENTE S/ ADHESIVO-25,200
2023,1,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-28,0
2023,1,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 2cm.-31,0
2023,1,EQ. DE PRESION NEGATIVA CON INSTILACIÓN-33,0
2023,2,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,1040
2023,2,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,1220
2023,2,APOSITO DE HIDROFIBRA  / CINTA-18,625
2023,2,APOSITO DE ESPUMA POLIURETANO / SACRO-11,200
2023,2,APOSITO C/ CARBON Y PLATA-6,3000
2023,2,APOSITO DE FIBRAS DE POLIACRILATO-3,1520
2023,2,APOSITO MALLADO C/ PARAFINA-39,1690
2023,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,13180
2023,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,4295
2023,2,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,0
2023,2,APOSITO DE HIDROCOLOIDE-9,3309
2023,2,APOSITO DE HIDROCOLOIDE-7,590
2023,2,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0
2023,2,APOSITO DE ESPUMA POLIURETANO-8,400
2023,2,APÓSITO ABSORBENTE C/ ADHESIVO-22,11520
2023,2,APÓSITO ABSORBENTE C/ ADHESIVO-23,6160
2023,2,HIDROGEL-37,3230
2023,2,APOSITO MALLADO C/ PARAFINA-38,3430
2023,2,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,440
2023,2,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,192
2023,2,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,1750
2023,2,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,35
2023,2,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,55
2023,2,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,15
2023,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,3470
2023,2,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,6990
2023,2,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,20
2023,2,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,13
2023,2,APOSITO MALLADO C/ SILICONA-0,700
2023,2,APOSITO C/ CARBON Y PLATA-4,3360
2023,2,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,15000
2023,2,APOSITO DE HIDROCOLOIDE-3,1365
2023,2,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,90
2023,2,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,30
2023,2,EQ. DE PRESIÓN NEGATIVA ABDOMINAL-29,11
2023,2,APÓSITO TRANSPARENTE ADHESIVO-24,8300
2023,2,APOSITO DE ALGINATO C/ PLATA-6,200
2023,2,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,26
2023,2,APOSITO DE HIDROCOLOIDE-6,2410
2023,2,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,3030
2023,2,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,640
2023,2,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,700
2023,2,APÓSITO TRANSPARENTE ADHESIVO-20,3050
2023,2,APOSITO ABSORBENTE S/ ADHESIVO-25,400
2023,2,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-28,2
2023,2,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 2cm.-31,700
2023,2,EQ. DE PRESION NEGATIVA CON INSTILACIÓN-33,0
2023,3,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,1070
2023,3,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,1600
2023,3,APOSITO DE HIDROFIBRA  / CINTA-18,640
2023,3,APOSITO DE ESPUMA POLIURETANO / SACRO-11,0
2023,3,APOSITO C/ CARBON Y PLATA-6,2700
2023,3,APOSITO DE FIBRAS DE POLIACRILATO-3,340
2023,3,APOSITO MALLADO C/ PARAFINA-39,1710
2023,3,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,4620
2023,3,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,1730
2023,3,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,0
2023,3,APOSITO DE HIDROCOLOIDE-9,2685
2023,3,APOSITO DE HIDROCOLOIDE-7,130
2023,3,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0
2023,3,APOSITO DE ESPUMA POLIURETANO-8,850
2023,3,APÓSITO ABSORBENTE C/ ADHESIVO-22,10240
2023,3,APÓSITO ABSORBENTE C/ ADHESIVO-23,3360
2023,3,HIDROGEL-37,980
2023,3,APOSITO MALLADO C/ PARAFINA-38,3250
2023,3,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,130
2023,3,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,216
2023,3,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,1320
2023,3,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,53
2023,3,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,115
2023,3,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,0
2023,3,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,1230
2023,3,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,2730
2023,3,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,20
2023,3,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,9
2023,3,APOSITO MALLADO C/ SILICONA-0,840
2023,3,APOSITO C/ CARBON Y PLATA-4,150
2023,3,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,6000
2023,3,APOSITO DE HIDROCOLOIDE-3,255
2023,3,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,90
2023,3,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,35
2023,3,EQ. DE PRESIÓN NEGATIVA ABDOMINAL-29,22
2023,3,APÓSITO TRANSPARENTE ADHESIVO-24,5500
2023,3,APOSITO DE ALGINATO C/ PLATA-6,60
2023,3,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,7
2023,3,APOSITO DE HIDROCOLOIDE-6,0
2023,3,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,210
2023,3,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,970
2023,3,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,350
2023,3,APÓSITO TRANSPARENTE ADHESIVO-20,1600
2023,3,APOSITO ABSORBENTE S/ ADHESIVO-25,0
2023,3,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-28,2
2023,3,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 2cm.-31,0
2023,3,EQ. DE PRESION NEGATIVA CON INSTILACIÓN-33,5
2023,4,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,930
2023,4,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,1430
2023,4,APOSITO DE HIDROFIBRA  / CINTA-18,485
2023,4,APOSITO DE ESPUMA POLIURETANO / SACRO-11,100
2023,4,APOSITO C/ CARBON Y PLATA-6,600
2023,4,APOSITO DE FIBRAS DE POLIACRILATO-3,300
2023,4,APOSITO MALLADO C/ PARAFINA-39,1720
2023,4,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,7680
2023,4,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,1895
2023,4,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,0
2023,4,APOSITO DE HIDROCOLOIDE-9,2358
2023,4,APOSITO DE HIDROCOLOIDE-7,200
2023,4,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0
2023,4,APOSITO DE ESPUMA POLIURETANO-8,200
2023,4,APÓSITO ABSORBENTE C/ ADHESIVO-22,7040
2023,4,APÓSITO ABSORBENTE C/ ADHESIVO-23,1680
2023,4,HIDROGEL-37,1080
2023,4,APOSITO MALLADO C/ PARAFINA-38,2290
2023,4,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,0
2023,4,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,96
2023,4,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,990
2023,4,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,26
2023,4,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,50
2023,4,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,25
2023,4,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2080
2023,4,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,4350
2023,4,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,0
2023,4,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,32
2023,4,APOSITO MALLADO C/ SILICONA-0,770
2023,4,APOSITO C/ CARBON Y PLATA-4,0
2023,4,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,5000
2023,4,APOSITO DE HIDROCOLOIDE-3,0
2023,4,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,55
2023,4,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,40
2023,4,EQ. DE PRESIÓN NEGATIVA ABDOMINAL-29,5
2023,4,APÓSITO TRANSPARENTE ADHESIVO-24,3600
2023,4,APOSITO DE ALGINATO C/ PLATA-6,110
2023,4,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,14
2023,4,APOSITO DE HIDROCOLOIDE-6,300
2023,4,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,810
2023,4,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,450
2023,4,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,0
2023,4,APÓSITO TRANSPARENTE ADHESIVO-20,900
2023,4,APOSITO ABSORBENTE S/ ADHESIVO-25,0
2023,4,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-28,19
2023,4,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 2cm.-31,0
2023,4,EQ. DE PRESION NEGATIVA CON INSTILACIÓN-33,0
2023,6,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,1460
2023,6,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,1550
2023,6,APOSITO DE HIDROFIBRA  / CINTA-18,560
2023,6,APOSITO DE ESPUMA POLIURETANO / SACRO-11,100
2023,6,APOSITO C/ CARBON Y PLATA-6,3600
2023,6,APOSITO DE FIBRAS DE POLIACRILATO-3,500
2023,6,APOSITO MALLADO C/ PARAFINA-39,3630
2023,6,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,6710
2023,6,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2050
2023,6,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,0
2023,6,APOSITO DE HIDROCOLOIDE-9,3729
2023,6,APOSITO DE HIDROCOLOIDE-7,475
2023,6,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0
2023,6,APOSITO DE ESPUMA POLIURETANO-8,600
2023,6,APÓSITO ABSORBENTE C/ ADHESIVO-22,10880
2023,6,APÓSITO ABSORBENTE C/ ADHESIVO-23,2800
2023,6,HIDROGEL-37,2060
2023,6,APOSITO MALLADO C/ PARAFINA-38,4060
2023,6,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,110
2023,6,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,240
2023,6,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,1660
2023,6,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,108
2023,6,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,60
2023,6,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,25
2023,6,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2350
2023,6,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,4740
2023,6,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,20
2023,6,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,10
2023,6,APOSITO MALLADO C/ SILICONA-0,1540
2023,6,APOSITO C/ CARBON Y PLATA-4,490
2023,6,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,1000
2023,6,APOSITO DE HIDROCOLOIDE-3,215
2023,6,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,30
2023,6,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,0
2023,6,EQ. DE PRESIÓN NEGATIVA ABDOMINAL-29,6
2023,6,APÓSITO TRANSPARENTE ADHESIVO-24,12900
2023,6,APOSITO DE ALGINATO C/ PLATA-6,300
2023,6,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,46
2023,6,APOSITO DE HIDROCOLOIDE-6,1020
2023,6,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,1800
2023,6,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,630
2023,6,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,0
2023,6,APÓSITO TRANSPARENTE ADHESIVO-20,2750
2023,6,APOSITO ABSORBENTE S/ ADHESIVO-25,200
2023,6,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-28,33
2023,6,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 2cm.-31,0
2023,6,EQ. DE PRESION NEGATIVA CON INSTILACIÓN-33,0
2023,7,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,830
2023,7,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,1770
2023,7,APOSITO DE HIDROFIBRA  / CINTA-18,375
2023,7,APOSITO DE ESPUMA POLIURETANO / SACRO-11,100
2023,7,APOSITO C/ CARBON Y PLATA-6,2700
2023,7,APOSITO DE FIBRAS DE POLIACRILATO-3,200
2023,7,APOSITO MALLADO C/ PARAFINA-39,1730
2023,7,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,11110
2023,7,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2735
2023,7,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,0
2023,7,APOSITO DE HIDROCOLOIDE-9,3639
2023,7,APOSITO DE HIDROCOLOIDE-7,325
2023,7,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0
2023,7,APOSITO DE ESPUMA POLIURETANO-8,300
2023,7,APÓSITO ABSORBENTE C/ ADHESIVO-22,9600
2023,7,APÓSITO ABSORBENTE C/ ADHESIVO-23,2800
2023,7,HIDROGEL-37,1260
2023,7,APOSITO MALLADO C/ PARAFINA-38,4980
2023,7,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,140
2023,7,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,300
2023,7,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,1290
2023,7,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,60
2023,7,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,190
2023,7,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,0
2023,7,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,1970
2023,7,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,5190
2023,7,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,60
2023,7,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,12
2023,7,APOSITO MALLADO C/ SILICONA-0,140
2023,7,APOSITO C/ CARBON Y PLATA-4,1800
2023,7,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,7000
2023,7,APOSITO DE HIDROCOLOIDE-3,810
2023,7,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,50
2023,7,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,30
2023,7,EQ. DE PRESIÓN NEGATIVA ABDOMINAL-29,15
2023,7,APÓSITO TRANSPARENTE ADHESIVO-24,1700
2023,7,APOSITO DE ALGINATO C/ PLATA-6,300
2023,7,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,8
2023,7,APOSITO DE HIDROCOLOIDE-6,1200
2023,7,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,1680
2023,7,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,690
2023,7,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,350
2023,7,APÓSITO TRANSPARENTE ADHESIVO-20,2850
2023,7,APOSITO ABSORBENTE S/ ADHESIVO-25,200
2023,7,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-28,0
2023,7,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 2cm.-31,0
2023,7,EQ. DE PRESION NEGATIVA CON INSTILACIÓN-33,5
2023,8,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,1500
2023,8,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,1450
2023,8,APOSITO DE HIDROFIBRA  / CINTA-18,630
2023,8,APOSITO DE ESPUMA POLIURETANO / SACRO-11,350
2023,8,APOSITO C/ CARBON Y PLATA-6,3600
2023,8,APOSITO DE FIBRAS DE POLIACRILATO-3,940
2023,8,APOSITO MALLADO C/ PARAFINA-39,2660
2023,8,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,15030
2023,8,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,3610
2023,8,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,0
2023,8,APOSITO DE HIDROCOLOIDE-9,5628
2023,8,APOSITO DE HIDROCOLOIDE-7,670
2023,8,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0
2023,8,APOSITO DE ESPUMA POLIURETANO-8,1150
2023,8,APÓSITO ABSORBENTE C/ ADHESIVO-22,14080
2023,8,APÓSITO ABSORBENTE C/ ADHESIVO-23,3360
2023,8,HIDROGEL-37,2520
2023,8,APOSITO MALLADO C/ PARAFINA-38,6210
2023,8,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,410
2023,8,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,120
2023,8,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,2310
2023,8,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,15
2023,8,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,70
2023,8,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,5
2023,8,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2010
2023,8,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,4300
2023,8,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,0
2023,8,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,20
2023,8,APOSITO MALLADO C/ SILICONA-0,140
2023,8,APOSITO C/ CARBON Y PLATA-4,1000
2023,8,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,7000
2023,8,APOSITO DE HIDROCOLOIDE-3,220
2023,8,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,65
2023,8,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,10
2023,8,EQ. DE PRESIÓN NEGATIVA ABDOMINAL-29,10
2023,8,APÓSITO TRANSPARENTE ADHESIVO-24,7300
2023,8,APOSITO DE ALGINATO C/ PLATA-6,780
2023,8,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,4
2023,8,APOSITO DE HIDROCOLOIDE-6,1400
2023,8,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,2100
2023,8,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,730
2023,8,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,350
2023,8,APÓSITO TRANSPARENTE ADHESIVO-20,1850
2023,8,APOSITO ABSORBENTE S/ ADHESIVO-25,200
2023,8,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-28,10
2023,8,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 2cm.-31,350
2023,8,EQ. DE PRESION NEGATIVA CON INSTILACIÓN-33,0
2023,9,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,1160
2023,9,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,720
2023,9,APOSITO DE HIDROFIBRA  / CINTA-18,375
2023,9,APOSITO DE ESPUMA POLIURETANO / SACRO-11,0
2023,9,APOSITO C/ CARBON Y PLATA-6,1500
2023,9,APOSITO DE FIBRAS DE POLIACRILATO-3,460
2023,9,APOSITO MALLADO C/ PARAFINA-39,2750
2023,9,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,3720
2023,9,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2570
2023,9,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,0
2023,9,APOSITO DE HIDROCOLOIDE-9,4170
2023,9,APOSITO DE HIDROCOLOIDE-7,210
2023,9,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0
2023,9,APOSITO DE ESPUMA POLIURETANO-8,200
2023,9,APÓSITO ABSORBENTE C/ ADHESIVO-22,9600
2023,9,APÓSITO ABSORBENTE C/ ADHESIVO-23,2800
2023,9,HIDROGEL-37,1050
2023,9,APOSITO MALLADO C/ PARAFINA-38,3820
2023,9,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,310
2023,9,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,156
2023,9,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,1360
2023,9,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,35
2023,9,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,95
2023,9,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,20
2023,9,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2900
2023,9,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,4230
